6.918,7.225,9.549,2.553,5.158,1.419,8.809,1.359,9.029,6.474
8.915,5.391,8.604,0.724,6.748,6.377,2.174,5.258,3.601,7.149
4.741,2.462,1.120,9.139,5.594,0.295,6.965,0.650,9.970,1.989
7.457,7.912,7.161,2.673,2.627,3.711,5.871,8.013,8.729,7.908
9.337,5.049,1.122,6.819,0.308,6.349,4.928,8.517,6.270,0.038
3.012,4.425,7.952,7.012,8.156,3.642,9.012,2.774,2.329,3.198
8.506,6.515,1.059,1.648,1.645,3.343,3.537,4.184,5.404,5.310
4.742,0.803,0.042,6.322,8.821,0.806,1.548,0.599,9.519,3.573
8.853,7.822,0.429,8.970,8.699,6.932,0.252,6.913,8.572,9.783
6.226,8.825,1.457,9.839,4.967,2.269,2.051,4.923,8.830,9.018
0.845,0.170,1.253,5.156,9.763,2.772,0.640,2.487,8.776,6.876
5.461,7.595,8.784,1.938,0.264,3.773,6.782,2.781,5.345,8.667
9.795,6.720,1.261,0.812,1.399,1.579,8.314,0.499,7.133,7.091
4.890,2.838,8.014,1.849,0.492,1.530,0.826,0.569,2.490,6.313
6.821,5.659,5.786,7.547,8.942,4.831,4.140,1.980,0.462,3.789
0.721,2.600,4.443,1.480,9.271,4.965,9.818,4.505,5.835,8.325
3.307,4.628,4.531,9.477,3.913,0.352,4.036,9.424,4.194,0.658
3.140,5.921,5.520,4.467,4.806,8.001,7.560,0.729,2.109,2.397
6.140,7.268,6.761,0.211,9.505,4.770,2.179,4.857,1.926,7.967
3.203,0.182,2.492,1.831,8.379,7.385,9.877,7.111,2.501,5.524
