4.547,3.907,5.433,4.207,4.943,1.329,7.968,7.309,0.442,9.286
2.069,9.926,6.791,7.568,4.560,7.189,2.655,7.504,3.496,2.443
6.699,4.303,9.589,2.031,7.315,5.850,5.538,5.631,1.484,4.318
3.191,7.304,3.602,9.691,1.581,1.770,5.939,7.121,2.721,5.369
4.591,2.432,4.416,5.166,1.627,3.599,3.969,0.663,6.018,7.922
7.127,2.566,3.417,7.155,7.441,2.240,8.163,6.741,9.611,5.083
3.866,2.009,0.332,1.943,9.839,7.192,3.790,8.162,5.655,6.592
1.342,1.863,1.102,7.704,8.646,4.910,4.539,2.054,0.097,9.150
8.194,2.982,3.129,3.778,5.207,5.026,2.486,1.976,8.033,0.541
2.612,1.033,0.031,1.474,6.128,4.004,7.353,3.372,4.740,2.623
3.171,9.229,9.906,5.857,9.000,6.808,7.801,5.524,5.333,3.110
7.380,9.585,0.435,2.946,7.254,5.756,3.491,5.026,7.049,6.070
7.730,2.549,7.188,3.033,2.141,9.473,7.040,8.553,0.029,8.881
4.227,5.113,6.166,5.763,2.049,4.542,5.077,8.943,7.802,0.854
3.730,1.606,9.300,2.628,1.438,6.734,2.683,6.497,7.619,9.100
8.682,1.027,9.361,0.404,2.287,2.691,3.570,0.420,5.161,8.734
5.332,1.289,3.736,7.880,3.972,8.269,6.884,7.913,9.031,4.751
3.071,6.831,0.117,7.832,0.917,9.950,6.138,9.227,1.741,7.138
5.358,3.723,2.609,8.883,7.586,5.534,3.926,7.257,7.884,9.521
3.856,5.312,6.563,4.166,2.752,7.680,2.546,7.304,9.297,7.107
