0.802,1.843,8.458,5.538,0.535,0.555,0.705,9.430,1.404,7.479
4.770,3.468,0.778,7.939,5.148,3.516,5.531,4.982,4.140,4.315
1.818,4.790,7.855,8.433,6.211,2.098,1.368,9.400,7.481,3.546
5.288,0.329,9.549,3.326,8.323,1.974,8.584,6.274,4.327,4.196
6.954,6.500,3.734,6.809,7.572,5.302,5.807,9.470,9.629,3.917
9.467,3.366,0.065,2.544,5.149,0.309,9.928,7.941,8.267,9.976
5.279,4.490,9.745,9.815,0.647,8.377,6.333,8.130,8.970,6.163
5.788,0.416,5.267,0.472,0.932,8.883,4.478,5.151,0.400,6.394
6.543,7.620,1.390,4.888,4.610,1.543,9.516,8.285,7.207,6.543
1.204,2.757,9.071,8.598,9.231,3.897,6.703,2.901,1.856,7.802
1.763,4.186,0.333,7.845,6.894,0.415,6.742,9.097,3.797,0.006
1.508,3.654,7.545,3.984,0.992,2.667,4.999,0.885,1.844,7.201
6.026,4.417,9.090,6.082,5.205,6.728,2.992,5.164,4.630,4.207
1.472,6.944,7.811,4.068,9.001,2.641,8.260,2.076,6.626,9.403
6.604,3.722,2.152,0.596,3.827,0.693,6.165,0.220,0.673,6.486
3.928,7.339,6.939,9.057,3.656,8.774,1.549,7.526,4.886,3.507
2.791,5.987,3.290,9.846,4.489,7.510,9.294,5.666,4.836,9.583
7.373,3.614,2.279,1.970,5.376,7.635,8.181,6.469,3.691,3.867
4.240,2.243,2.682,4.129,6.990,7.425,2.845,6.158,8.594,4.213
1.493,9.209,1.317,6.658,2.578,8.052,0.092,2.443,8.255,6.363
