1.973,5.593,5.014,0.903,1.753,1.173,3.488,5.767,3.831,0.536
6.803,4.079,3.044,9.850,4.573,4.371,6.340,2.989,5.243,8.367
2.565,5.201,8.918,2.297,0.929,0.099,7.062,7.954,6.603,7.285
7.046,7.725,5.632,1.557,4.172,2.078,1.909,2.594,2.491,5.833
7.222,1.512,8.162,8.741,7.615,3.749,3.299,7.461,8.021,3.618
6.831,3.535,1.022,1.864,6.238,4.097,9.092,8.281,0.875,2.031
8.087,4.270,5.227,1.159,2.987,8.124,8.088,2.222,3.100,0.046
4.564,2.942,4.000,5.839,8.714,6.418,2.761,7.307,1.142,1.346
1.329,1.414,1.736,6.944,2.776,4.803,1.640,0.436,1.790,5.483
5.868,8.251,9.989,0.508,9.755,7.521,8.127,7.709,0.626,6.977
8.843,8.412,6.151,8.546,5.304,1.419,4.565,1.230,7.496,0.480
0.010,2.133,2.313,9.490,3.049,3.673,2.259,8.771,1.927,1.164
7.553,1.646,4.496,6.003,2.973,7.012,8.277,6.238,5.928,2.621
3.687,7.998,2.794,3.217,3.193,9.493,0.992,2.921,0.985,1.366
1.911,2.267,4.234,9.064,8.787,5.347,1.610,0.368,0.799,9.794
2.028,8.121,2.746,1.951,8.152,2.316,8.201,8.354,7.167,6.985
1.364,0.452,6.777,0.051,8.494,8.494,1.010,1.376,8.574,5.675
2.158,6.753,2.785,4.210,7.969,0.653,4.671,8.060,9.165,5.494
4.642,9.645,0.050,1.103,6.619,3.949,6.030,4.583,8.089,7.223
7.877,2.365,0.625,0.932,6.493,3.899,5.428,7.617,8.576,9.431
