5.610,4.669,8.813,9.440,1.457,5.473,1.444,7.597,7.594,5.514
6.617,8.242,4.431,2.777,6.644,9.103,6.538,7.724,2.255,0.518
1.980,3.933,7.797,9.244,2.974,9.995,7.626,7.098,6.847,9.223
6.749,5.304,5.250,6.779,8.238,8.302,8.305,9.272,3.996,9.401
0.309,1.478,3.901,8.486,6.414,2.468,3.360,0.300,2.050,2.909
6.737,2.231,7.129,6.286,6.917,4.285,5.599,1.755,8.743,6.210
9.823,1.102,7.538,8.964,8.129,3.927,9.571,1.432,9.214,7.241
1.669,6.748,9.289,8.220,5.903,6.214,2.318,2.988,8.646,8.012
0.968,9.730,9.713,7.880,5.350,5.696,3.464,1.177,6.751,8.017
9.317,4.043,3.368,4.741,3.941,0.018,4.332,5.771,9.523,4.190
0.225,3.056,8.015,9.012,7.280,9.267,4.033,1.889,5.184,5.983
9.867,0.980,5.363,5.571,4.530,6.908,6.758,9.448,5.153,8.306
5.900,4.809,5.572,9.759,3.421,9.694,1.164,9.507,0.106,3.927
6.043,0.265,9.923,6.126,6.573,2.155,3.527,7.881,1.356,9.911
3.068,8.985,6.205,5.576,9.551,0.330,5.021,7.764,7.683,9.078
7.152,3.788,3.316,7.456,4.885,0.390,3.468,3.272,9.656,6.537
9.538,4.371,7.487,5.155,2.800,8.072,8.208,3.887,7.018,3.521
9.176,9.065,4.680,2.820,2.435,9.850,7.330,9.047,9.456,6.209
9.175,7.595,3.608,9.431,8.843,6.565,8.471,0.148,5.954,2.546
5.048,8.590,0.844,9.496,6.435,4.645,5.866,3.959,8.221,6.024
