4.322,4.426,0.542,9.641,9.341,0.021,4.854,2.652,1.992,8.416
7.961,9.140,0.597,9.015,1.660,0.908,9.354,3.322,3.881,1.987
0.445,2.991,8.858,7.766,9.614,4.011,2.926,2.621,3.033,3.224
6.331,7.396,5.487,1.502,4.608,8.116,1.319,1.785,5.364,0.094
9.550,2.044,6.495,1.925,0.488,7.492,9.556,0.554,4.465,4.910
4.461,0.971,7.682,8.074,9.583,4.176,3.816,3.714,4.753,6.460
5.079,2.046,6.423,2.809,3.917,2.652,6.495,5.477,7.813,7.340
5.943,4.764,2.121,1.323,7.508,6.873,5.922,4.068,1.411,1.223
1.530,0.646,2.494,1.418,3.081,2.027,4.127,0.176,9.617,2.123
1.073,4.001,2.533,6.893,7.447,6.887,6.099,0.238,2.337,0.345
9.742,0.667,5.987,6.296,0.433,9.228,9.755,5.812,4.955,6.195
6.914,0.837,4.828,5.506,3.797,0.180,6.170,9.379,4.392,8.735
3.481,9.561,6.364,4.284,8.713,4.163,9.651,3.967,2.981,6.685
4.330,2.114,2.536,7.096,8.966,3.073,7.495,6.295,7.998,1.289
0.852,5.805,5.213,6.466,8.544,3.695,5.608,7.959,3.501,4.417
0.859,2.035,1.327,8.569,3.144,7.557,3.020,8.632,3.601,3.421
5.514,7.806,7.638,5.513,7.393,2.905,3.094,2.700,1.559,9.910
1.582,4.923,1.925,9.654,5.166,8.618,4.746,7.857,5.344,2.866
4.817,6.912,3.141,1.537,0.292,4.592,8.579,7.610,4.118,5.657
3.989,0.939,0.611,5.008,9.763,3.830,6.759,8.024,0.496,4.880
